;id;day;airline;destination;dest_region;dest_size;boarding_area;dept_time;wait_min;no_pass;cleanliness;safety;satisfaction
70;2230;Wednesday;AER LINGUS;DUBLIN;Europe;Large;Gates 91-102;31.12.2018;300.0;115;Average;Somewhat safe;0
71;2865;Wednesday;UNITED;WASHINGTON DC-DULLES;East US;Medium;Gates 70-90;31.12.2018;77.0;264;Average;Very safe;1
72;387;Friday;ALASKA;INDIANAPOLIS;Midwest US;    Medium;Gates 50-59;31.12.2018;160.0;281;Clean;Very safe;1
73;1957;Friday;CATHAY PACIFIC;HONG KONG;Asia;Hub     ;Gates 1-12;31.12.2018;185.0;148;Somewhat clean;Neutral;1
74;2526;Tuesday;JETBLUE;LONG BEACH;West US;Small;Gates 1-12;31.12.2018;60.0;128;Somewhat clean;Somewhat safe;1
75;3041;Tuesday;AMERICAN;DALLAS-FT. WORTH;Midwest US;    Hub;Gates 50-59;31.12.2018;185.0;284;Somewhat clean;Very safe;1
76;813;Sunday;ALASKA;PORTLAND;West US;Medium;Gates 50-59;31.12.2018;140.0;118;Somewhat clean;Very safe;1
77;1523;Wednesday;JETBLUE;NEW YORK-JFK;EAST US;    Hub;Gates 1-12;31.12.2018;81.0;125;Somewhat clean;Very safe;1
78;2796;Sunday;WOW;REYKJAVIK;Europe;Small;Gates 1-12;31.12.2018;160.0;287;Somewhat clean;Somewhat safe;1
79;3255;Tuesday;UNITED;SAN DIEGO;West US;Medium;Gates 70-90;31.12.2018;105.0;241;Average;Somewhat safe;0
80;2042;Friday;BRITISH AIRWAYS;LONDON HEATHROW;Europe;Hub;Gates 1-12;31.12.2018;180.0;208;Somewhat clean;Very safe;1
81;3062;Sunday;PHILIPPINE AIRLINES;MANILA;Asia;Medium;Gates 1-12;01.01.2018;215.0;109;Clean;Somewhat safe;1
82;2026;Friday;BRITISH AIRWAYS;LONDON HEATHROW;Europe;Hub;Gates 1-12;31.12.2018;215.1;238;Somewhat clean;Somewhat safe;1
83;1793;Saturday;UNITED;RALEIGH-DURHAM;East US;Medium;Gates 70-90;31.12.2018;215.2;177;Clean;Somewhat safe;1
84;1366;Tuesday;UNITED INTL;KANSAI;Asia;Hub;Gates 91-102;31.12.2018;215.3;240;Clean;Very safe;1
85;1017;Friday;AIR CANADA;VANCOUVER;Canada/Mexico;Medium;Gates 91-102;31.12.2018;215.4;170;Somewhat clean;Very safe;1
86;2501;Friday;ALASKA;SALT LAKE CITY;West US;    Medium;Gates 1-12;31.12.2018;215.5;118;Somewhat clean;Neutral;1
88;3202;Sunday;CATHAY PACIFIC;HONG KONG;Asia;Hub;Gates 1-12;01.01.2018;215.6;155;Clean;Neutral;1
89;1747;Monday;LUFTHANSA;MUNICH;Europe;Hub;Gates 91-102;31.12.2018;215.7;240;Clean;Very safe;1
90;1954;Saturday;AIR FRANCE/KLM;PARIS-DE GAULLE;Europe;Hub;Gates 1-12;31.12.2018;215.8;228;Clean;Very safe;1
91;643;Thursday;ALASKA;NEW ORLEANS;Midwest US;Medium;Gates 50-59;31.12.2018;215.9;253;Somewhat clean;Neutral;1
93;2258;Wednesday;WOW;REYKJAVIK;Europe;Small;Gates 91-102;31.12.2018;215.10;184;Somewhat clean;Somewhat safe;1
94;2334;Tuesday;DELTA;MINNEAPOLIS-ST. PAUL;Midwest US;Hub;Gates 40-48;31.12.2018;215.11;216;Clean;Very safe;1
95;1887;Tuesday;UNITED;BOSTON;East US;Large;Gates 70-90;31.12.2018;215.12;245;Somewhat clean;Neutral;0
97;363;Friday;LUFTHANSA;FRANKFURT;Europe;Hub;Gates 91-102;31.12.2018;215.13;192;Somewhat clean;Somewhat safe;1
99;2443;Tuesday;JETBLUE;BOSTON;East US;Large;Gates 1-12;31.12.2018;;180;Clean;Very safe;1
100;2321;Wednesday;SOUTHWEST;LOS ANGELES;West US;Hub;Gates 20-39;31.12.2018;;101;Somewhat clean;Somewhat safe;1
101;1593;Thursday;SOUTHWEST;LOS ANGELES;West US;Hub;Gates 20-39;31.12.2018;;231;Clean;Very safe;1
103;716;Wednesday;CATHAY PACIFIC;HONG KONG;Asia;Hub;Gates 1-12;31.12.2018;;163;Clean;Very safe;1
104;2320;Wednesday;QANTAS;SYDNEY;Australia/New Zealand;Hub;Gates 1-12;31.12.2018;;196;Somewhat clean;Somewhat safe;1
106;2038;Friday;BRITISH AIRWAYS;LONDON HEATHROW;eur;    Hub;Gates 1-12;31.12.2018;;271;Average;Somewhat safe;0
107;550;Thursday;EMIRATES;DUBAI;Middle East;Hub;Gates 1-12;31.12.2018;;123;Somewhat clean;Somewhat safe;1
108;746;Sunday;ALASKA;NEW YORK-JFK;East US;Hub;Gates 50-59;31.12.2018;;181;Clean;Very safe;1
109;2739;Friday;UNITED;KAHULUI;West US;Small;Gates 60-69;31.12.2018;;140;Somewhat clean;Very safe;1
110;1984;Friday;AIR FRANCE/KLM;AMSTERDAM;eur;    Hub;Gates 1-12;31.12.2018;;257;Average;Neutral;0
111;2566;Saturday;JETBLUE;LONG BEACH;West US;Small;Gates 1-12;31.12.2018;;122;Clean;Very safe;1
112;2200;Wednesday;AER LINGUS;DUBLIN;Europe;Large;Gates 91-102;31.12.2018;;154;Somewhat clean;Somewhat safe;1
113;340;Wednesday;SOUTHWEST;PHOENIX;West US;Hub;Gates 20-39;31.12.2018;;198;Somewhat clean;Somewhat safe;1
114;1252;Thursday;UNITED INTL;TOKYO-NARITA;Asia;Hub;Gates 91-102;31.12.2018;;147;Somewhat clean;Somewhat safe;1
115;1946;Saturday;AIR FRANCE/KLM;PARIS-DE GAULLE;Europe;Hub;Gates 1-12;31.12.2018;;177;Clean;Very safe;0
116;2627;Tuesday;UNITED;CHICAGO-O'HARE;Midwest US;Hub;Gates 60-69;31.12.2018;;107;Clean;Very safe;1
117;1563;Wednesday;DELTA;ATLANTA;East US;Hub;Gates 40-48;31.12.2018;;223;Somewhat clean;Somewhat safe;0
118;752;Thursday;AIR CANADA;TORONTO;Canada/Mexico;Hub;Gates 91-102;31.12.2018;;219;Somewhat clean;Somewhat safe;0
120;3135;Tuesday;UNITED;SAN DIEGO;West US;Medium;Gates 60-69;31.12.2018;;202;Somewhat clean;Very safe;1
121;1123;Thursday;DELTA;MINNEAPOLIS-ST. PAUL;Midwest US;Hub;Gates 40-48;31.12.2018;;257;Somewhat clean;Very safe;1
122;2220;Thursday;SOUTHWEST;PHOENIX;West US;Hub;Gates 20-39;31.12.2018;;150;Somewhat clean;Very safe;1
123;3065;Tuesday;UNITED;SPOKANE;West US;Small;Gates 70-90;31.12.2018;;139;Average;Neutral;0
124;3052;Tuesday;AMERICAN;MIAMI;East US;Hub;Gates 50-59;31.12.2018;;140;Clean;Somewhat safe;1
125;2847;Tuesday;UNITED;SEATTLE;West US;Hub;Gates 70-90;31.12.2018;;273;Average;Very safe;1
127;884;Tuesday;ALASKA;SEATTLE;West US;Hub;Gates 50-59;31.12.2018;;181;Clean;Very safe;1
128;2054;Friday;UNITED;NEWARK;East US;Hub;Gates 70-90;31.12.2018;;233;Clean;Very safe;1
129;1571;Wednesday;DELTA;DETROIT;Midwest US;Large;Gates 40-48;31.12.2018;;118;Somewhat clean;Very safe;0
130;747;Sunday;ALASKA;NEW YORK-JFK;East US;Hub;Gates 50-59;31.12.2018;;210;Somewhat clean;Very safe;1
132;1799;Sunday;ALASKA;RALEIGH-DURHAM;EAST US;    Medium;Gates 50-59;31.12.2018;;127;Somewhat clean;Neutral;1
134;2281;Wednesday;QANTAS;SYDNEY;Australia/New Zealand;    Hub;Gates 1-12;31.12.2018;;268;Average;Neutral;0
135;2711;Friday;UNITED;SANTA BARBARA;West US;Small;Gates 70-90;31.12.2018;;175;Somewhat clean;Somewhat safe;1
136;917;Friday;AIR CANADA;TORONTO;Canada/Mexico;Hub;Gates 91-102;31.12.2018;;261;Somewhat clean;Somewhat safe;0
137;2091;Thursday;AMERICAN;PHILADELPHIA;East US;Large;Gates 50-59;31.12.2018;;211;Somewhat clean;Somewhat safe;1
139;265;Friday;AIR CANADA;TORONTO;Canada/Mexico;    Hub;Gates 91-102;31.12.2018;;291;Average;Neutral;0
140;2387;Wednesday;UNITED INTL;BEIJING;Asia;Hub;Gates 91-102;31.12.2018;;217;Somewhat clean;Neutral;0
141;3254;Tuesday;UNITED;SAN DIEGO;West US;Medium;Gates 70-90;31.12.2018;;278;Somewhat clean;Very safe;1
142;772;Thursday;UNITED INTL;SAN JOSE DEL CABO;Canada/Mexico;Small;Gates 91-102;31.12.2018;;202;Somewhat clean;Very safe;1
143;465;Sunday;UNITED;DENVER;West US;Hub;Gates 70-90;31.12.2018;;180;Average;Somewhat safe;1
144;374;Friday;ALASKA;SAN JOSE DEL CABO;Canada/Mexico;Small;Gates 50-59;31.12.2018;;207;Somewhat clean;Neutral;1
145;367;Friday;ALASKA;SAN JOSE DEL CABO;Canada/Mexico;Small;Gates 50-59;31.12.2018;;250;Somewhat clean;Very safe;1
146;2113;Friday;JETBLUE;LONG BEACH;West US;Small;Gates 1-12;31.12.2018;;262;Average;Somewhat safe;1
148;1970;Friday;CATHAY PACIFIC;HONG KONG;Asia;Hub;Gates 1-12;31.12.2018;;232;Clean;Very safe;1
149;1012;Friday;AIR CANADA;VANCOUVER;Canada/Mexico;Medium;Gates 91-102;31.12.2018;;190;Clean;Very safe;1
150;1739;Monday;AIR CANADA;TORONTO;Canada/Mexico;Hub;Gates 91-102;31.12.2018;;234;Somewhat clean;Somewhat safe;1
151;2004;Wednesday;UNITED;NEWARK;East US;Hub;Gates 70-90;31.12.2018;;125;Somewhat clean;Somewhat safe;1
152;2016;Wednesday;UNITED;NEWARK;East US;Hub;Gates 70-90;31.12.2018;;182;Clean;Very safe;1
153;2262;Saturday;UNITED;BAKERSFIELD;West US;    Small;Gates 70-90;31.12.2018;;135;Somewhat dirty;Very safe;0
154;2482;Friday;ALASKA;SALT LAKE CITY;West US;    Medium;Gates 1-12;31.12.2018;;181;Somewhat clean;Neutral;0
155;2969;Tuesday;UNITED;HONOLULU;West US;Medium;Gates 70-90;31.12.2018;;106;Clean;Very safe;1
156;2575;Tuesday;UNITED;CHICAGO-O'HARE;Midwest US;Hub;Gates 60-69;31.12.2018;;262;Clean;Somewhat safe;1
157;637;Thursday;ALASKA;NEW ORLEANS;Midwest US;Medium;Gates 50-59;31.12.2018;;156;Clean;Very safe;1
158;2497;Friday;UNITED;CHICAGO-O'HARE;Midwest US;Hub;Gates 60-69;31.12.2018;;120;Somewhat clean;Somewhat safe;1
160;1724;Monday;AIR CANADA;TORONTO;Canada/Mexico;Hub;Gates 91-102;31.12.2018;;190;Clean;Very safe;1
161;805;Wednesday;AMERICAN;LOS ANGELES;West US;Hub;Gates 50-59;31.12.2018;;247;Somewhat clean;Very safe;0
162;3169;Thursday;DELTA;LOS ANGELES;West US;Hub;Gates 40-48;31.12.2018;;192;Average;Very safe;1
163;1090;Thursday;DELTA;MINNEAPOLIS-ST. PAUL;Midwest US;Hub     ;Gates 40-48;31.12.2018;;285;Somewhat clean;Very safe;1
164;270;Thursday;UNITED;LOS ANGELES;West US;    Hub;Gates 70-90;31.12.2018;;116;Clean;Very safe;1
165;569;Thursday;ALASKA;SEATTLE;West US;Hub;Gates 50-59;31.12.2018;;225;Somewhat clean;Somewhat safe;1
166;2319;Wednesday;QANTAS;SYDNEY;Australia/New Zealand;    Hub;Gates 1-12;31.12.2018;;189;Average;Very safe;0
167;3223;Thursday;AMERICAN;LOS ANGELES;West US;Hub;Gates 50-59;31.12.2018;;280;Clean;Very safe;1
168;2922;Thursday;DELTA;SEATTLE;West US;Hub;Gates 40-48;31.12.2018;;283;Somewhat clean;Somewhat safe;1
169;13;Tuesday;SOUTHWEST;LOS ANGELES;West US;Hub;Gates 20-39;31.12.2018;;171;Average;Somewhat safe;1
170;1719;Sunday;AIR FRANCE/KLM;PARIS-DE GAULLE;eur;    Hub;Gates 1-12;31.12.2018;;154;Average;Somewhat safe;0
171;3186;Thursday;DELTA;LOS ANGELES;West US;Hub;Gates 40-48;31.12.2018;;203;Average;Somewhat safe;1
172;2157;Wednesday;FRONTIER;DENVER;West US;Hub;Gates 20-39;31.12.2018;;295;Clean;Very safe;1
173;1103;Tuesday;SOUTHWEST;SAN DIEGO;West US;    Medium;Gates 20-39;31.12.2018;;264;Clean;Very safe;1
174;2053;Friday;UNITED;NEWARK;East US;Hub;Gates 70-90;31.12.2018;;194;Average;Somewhat safe;0
175;2353;Wednesday;UNITED;AUSTIN;Midwest US;Medium;Gates 70-90;31.12.2018;;268;Clean;Very safe;1
176;3048;Sunday;PHILIPPINE AIRLINES;MANILA;Asia;Medium;Gates 1-12;01.01.2018;;109;Somewhat clean;Very safe;1
177;2143;Wednesday;FRONTIER;DENVER;West US;Hub;Gates 20-39;31.12.2018;;296;Clean;Very safe;1
178;1113;Thursday;DELTA;MINNEAPOLIS-ST. PAUL;Midwest US;Hub;Gates 40-48;31.12.2018;;291;Clean;Very safe;1
180;1303;Tuesday;UNITED INTL;LONDON HEATHROW;Europe;Hub;Gates 91-102;31.12.2018;;163;Clean;Very safe;0
181;1261;Thursday;CHINA EASTERN;SHANGHAI;Asia;Hub;Gates 1-12;31.12.2018;;121;Clean;Very safe;1
182;9004;Friday;AIR CANADA;VANCOUVER;Canada/Mexico;Medium;Gates 91-102;31.12.2018;;134;Clean;Very safe;1
183;1913;Saturday;AIR FRANCE/KLM;PARIS-DE GAULLE;Europe;Hub;Gates 1-12;31.12.2018;;194;Clean;Very safe;1
184;3035;Tuesday;UNITED;PORTLAND;West US;Medium;Gates 70-90;31.12.2018;;282;Somewhat clean;Somewhat safe;1
185;1542;Thursday;DELTA;NEW YORK-JFK;East US;Hub;Gates 40-48;31.12.2018;;176;Somewhat clean;Very safe;1
186;2352;Tuesday;DELTA;MINNEAPOLIS-ST. PAUL;Midwest US;Hub;Gates 40-48;31.12.2018;;177;Clean;Very safe;1
187;801;Sunday;ALASKA;BALTIMORE;East US;Medium;Gates 50-59;31.12.2018;;291;Clean;Very safe;1
189;529;Thursday;EMIRATES;DUBAI;Middle East;Hub;Gates 1-12;31.12.2018;;191;Somewhat dirty;Somewhat safe;0
191;3107;Tuesday;UNITED;SPOKANE;West US;Small;Gates 70-90;31.12.2018;;149;Clean;Very safe;1
192;1785;Saturday;UNITED;RALEIGH-DURHAM;EAST US;    Medium;Gates 70-90;31.12.2018;;120;Average;Neutral;0
193;202;Wednesday;AMERICAN;LOS ANGELES;West US;Hub;Gates 50-59;31.12.2018;;217;Somewhat clean;Somewhat safe;1
194;883;Tuesday;ALASKA;SEATTLE;West US;Hub;Gates 50-59;31.12.2018;;242;Average;Very safe;0
195;3142;Thursday;DELTA;SALT LAKE CITY;West US;Medium;Gates 40-48;31.12.2018;;285;Somewhat clean;Very safe;1
196;3157;Tuesday;UNITED;SAN DIEGO;West US;Medium;Gates 60-69;31.12.2018;;268;Somewhat clean;Very safe;0
197;1894;Monday;LUFTHANSA;MUNICH;Europe;Hub;Gates 91-102;31.12.2018;;296;Somewhat clean;Very safe;1
198;458;Sunday;UNITED;DALLAS-FT. WORTH;Midwest US;Hub;Gates 60-69;31.12.2018;;230;Somewhat clean;Somewhat safe;1
199;2020;Friday;BRITISH AIRWAYS;LONDON HEATHROW;eur;    Hub;Gates 1-12;31.12.2018;;199;Somewhat clean;Neutral;0
200;312;Thursday;UNITED;SAN DIEGO;West US;Medium;Gates 70-90;31.12.2018;;256;Somewhat clean;Very safe;1
201;2903;Friday;TURKISH AIRLINES;ISTANBUL;middle east;Hub     ;Gates 91-102;31.12.2018;;192;Clean;Very safe;1
202;2108;Friday;JETBLUE;LONG BEACH;West US;Small;Gates 1-12;31.12.2018;;251;Somewhat clean;Very safe;1
203;339;Wednesday;SOUTHWEST;PHOENIX;West US;Hub;Gates 20-39;31.12.2018;;210;Average;Neutral;0
204;2938;Friday;TURKISH AIRLINES;ISTANBUL;Middle East;Hub;Gates 91-102;31.12.2018;;147;Average;Neutral;0
205;1396;Tuesday;UNITED INTL;SHANGHAI;Asia;Hub;Gates 91-102;31.12.2018;;233;Somewhat clean;Very safe;0
206;1843;Wednesday;SOUTHWEST;SAN DIEGO;West US;Medium;Gates 20-39;31.12.2018;;254;Average;Somewhat safe;1
207;3038;Tuesday;UNITED;PORTLAND;West US;Medium;Gates 70-90;31.12.2018;;280;Somewhat clean;Somewhat safe;1
208;1482;Wednesday;FRONTIER;DENVER;West US;Hub;Gates 20-39;01.01.2018;;207;Somewhat clean;Very safe;1
209;2670;Tuesday;SOUTHWEST;DENVER;West US;Hub     ;Gates 20-39;31.12.2018;;258;Average;Very safe;1
211;756;Sunday;ALASKA;NEW YORK-JFK;East US;Hub;Gates 50-59;31.12.2018;;290;Clean;Very safe;1
212;2128;Wednesday;FRONTIER;DENVER;West US;Hub     ;Gates 20-39;31.12.2018;;171;Clean;Very safe;1
213;1514;Wednesday;INTERJET;GUADALAJARA;Canada/Mexico;Medium     ;Gates 1-12;31.12.2018;;205;Somewhat clean;Very safe;1
215;2481;Friday;UNITED;CHICAGO-O'HARE;Midwest US;Hub;Gates 60-69;31.12.2018;;184;Average;Somewhat safe;0
217;1150;Tuesday;SOUTHWEST;SAN DIEGO;West US;Medium;Gates 20-39;31.12.2018;;258;Clean;Very safe;1
218;1105;Thursday;DELTA;MINNEAPOLIS-ST. PAUL;Midwest US;Hub;Gates 40-48;31.12.2018;;233;Somewhat clean;Neutral;1
219;2945;Wednesday;SOUTHWEST;LOS ANGELES;West US;Hub;Gates 20-39;31.12.2018;;185;Somewhat clean;Somewhat safe;1
220;261;Friday;AIR CANADA;TORONTO;Canada/Mexico;Hub;Gates 91-102;31.12.2018;;158;Clean;Very safe;1
221;819;Sunday;ALASKA;PORTLAND;West US;    Medium;Gates 50-59;31.12.2018;;187;Somewhat clean;Neutral;0
223;2924;Friday;TURKISH AIRLINES;ISTANBUL;Middle East;Hub;Gates 91-102;31.12.2018;;112;Somewhat clean;Somewhat safe;1
224;2245;Thursday;SOUTHWEST;PHOENIX;West US;Hub;Gates 20-39;31.12.2018;;139;Average;Somewhat safe;1
225;238;Wednesday;AMERICAN;LOS ANGELES;West US;Hub;Gates 50-59;31.12.2018;;191;Somewhat clean;Very safe;1
226;1077;Friday;AIR CANADA;CALGARY;Canada/Mexico;Medium;Gates 91-102;31.12.2018;;251;Somewhat clean;Somewhat safe;0
227;3176;Thursday;DELTA;LOS ANGELES;West US;Hub;Gates 40-48;31.12.2018;;201;Somewhat clean;Very safe;1
228;1798;Sunday;ALASKA;RALEIGH-DURHAM;East US;Medium;Gates 50-59;31.12.2018;;224;Average;Neutral;0
229;1737;Monday;AIR CANADA;TORONTO;Canada/Mexico;Hub;Gates 91-102;31.12.2018;;137;Somewhat clean;Somewhat safe;1
230;3264;Tuesday;UNITED;SAN DIEGO;West US;    Medium;Gates 70-90;31.12.2018;;287;Somewhat clean;Very safe;1
231;2663;Saturday;JETBLUE;BOSTON;East US;Large;Gates 1-12;31.12.2018;;214;Clean;Somewhat safe;1
